"ID","direction","n_neighbours","mean_neighbour_DGR","median_neighbour_DGR","min_distance_m","idw_neighbour_DGR","distance_threshold_m","DGR","DGR_difference"
"001_1","SW",0,NA,NA,NA,NA,10,3.26142192852596,NA
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,20,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,30,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,40,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,50,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,60,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,70,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,80,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,90,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,100,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,110,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,120,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,130,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,140,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,150,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,160,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,170,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,180,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,190,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,200,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,210,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,220,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,230,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,240,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,250,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,260,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,270,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,280,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,290,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,300,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,310,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,320,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,330,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,340,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,350,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,360,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,370,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,380,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,390,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,400,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,410,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,420,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,430,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,440,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,450,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,460,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,470,3.26142192852596,-0.343672117415147
"001_1","SW",1,3.60509404594111,3.60509404594111,17.0782759548538,3.60509404594111,480,3.26142192852596,-0.343672117415147
