"direction","best_r2_threshold_m","best_r2","best_r2_slope","best_r2_p_value","relationship_sign","best_aic_threshold_m","best_aic","shortest_significant_threshold_m"
"SW",30,0.765262741369385,0.891096377628137,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000134797014428587,"positive",30,77.9037122906684,20
"NW",60,0.586261046937555,0.943844361316533,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000266317065623425,"positive",60,328.285595383015,50
"NE",30,0.763461587353741,0.856058089213712,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109590659145382,"positive",30,61.8183090674521,20
"SE",60,0.55291847541524,0.71177595988905,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000142264926260564,"positive",50,245.318893302642,50
