"term","edf","ref.df","f_stat","p.value"
"s(log_closest_SW)",2.40224413145982,2.6026302449643,16.4852021618057,0
"s(log_closest_SE)",2.44634090762912,2.68998436404861,3.03388532657443,0.022767551965218
"s(plot_id)",352.338303424144,563,1.77198210150626,0
