"direction","distance_threshold_m","predictor","slope","p_value","r_squared","adj_r_squared","AIC","sample_size","conf_low","conf_high","relationship_sign","status"
"NE",220,"idw_neighbour_DGR",0.882645086532083,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000545640092061543,0.55057220477348,0.549904407157987,522.070842857988,675,0.822287588299646,0.943002584764519,"positive","OK"
"NE",230,"idw_neighbour_DGR",0.897427215066264,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000847751689306379,0.546365050033483,0.545692001146292,541.783157075643,676,0.835581479885964,0.959272950246565,"positive","OK"
"NE",240,"idw_neighbour_DGR",0.905277159921025,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000281192481491381,0.54110246078021,0.540422612573958,549.384644871201,677,0.842272118673292,0.968282201168757,"positive","OK"
"NE",250,"idw_neighbour_DGR",0.911486944328992,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000421334827371363,0.53741166336734,0.536726347313069,554.807806040525,677,0.847576788730423,0.975397099927561,"positive","OK"
"NE",260,"idw_neighbour_DGR",0.913864686371681,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000314469012060348,0.530944277518781,0.530250408106826,564.33345828745,678,0.848997859435375,0.978731513307986,"positive","OK"
"NE",270,"idw_neighbour_DGR",0.91920784443139,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015644525760117,0.52819107626268,0.527494165001621,568.30698172646,679,0.853648871363101,0.984766817499678,"positive","OK"
"NE",280,"idw_neighbour_DGR",0.924475278302512,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012162811162066,0.522092130071496,0.521386210027288,577.027984494193,679,0.857729362801582,0.991221193803441,"positive","OK"
"NE",290,"idw_neighbour_DGR",0.931523296767122,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000483695205583447,0.516870961846518,0.516157329589275,584.405865770467,679,0.8635614613816,0.999485132152644,"positive","OK"
"NE",300,"idw_neighbour_DGR",0.936046357733524,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020284279974403,0.511516426867121,0.510794885400159,591.889848617544,679,0.867018654789947,1.0050740606771,"positive","OK"
"NE",310,"idw_neighbour_DGR",0.939330775440142,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000115844971693164,0.505652522957814,0.504922319889805,599.992234066651,679,0.869243448346148,1.00941810253414,"positive","OK"
"NE",320,"idw_neighbour_DGR",0.946214774905546,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000262828157906208,0.501078948310772,0.500341989593358,606.245284562386,679,0.874965010011457,1.01746453979964,"positive","OK"
"NE",330,"idw_neighbour_DGR",0.954146550223247,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000117096155785819,0.495459832321592,0.494714573580561,613.849802930233,679,0.881487518360932,1.02680558208556,"positive","OK"
"NE",340,"idw_neighbour_DGR",0.961357435599646,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000344190983648382,0.490403139070733,0.489650411063452,620.621122930728,679,0.887404994274013,1.03530987692528,"positive","OK"
"NE",350,"idw_neighbour_DGR",0.965896566859648,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000168214189009645,0.484523466134811,0.483762053233976,628.410500212164,679,0.89071549052011,1.04107764319919,"positive","OK"
"NE",360,"idw_neighbour_DGR",0.971763838570857,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000729268908984984,0.478760420543212,0.477990495019642,635.959622319128,679,0.895248028325716,1.048279648816,"positive","OK"
"NE",370,"idw_neighbour_DGR",0.976861257342502,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000162037326836979,0.473971237991639,0.473194238343178,642.169831283217,679,0.899202129010032,1.05452038567497,"positive","OK"
