"ID","direction","has_neighbour","n_neighbours","nearest_distance_m","mean_distance_m","proximity_pressure","neighbour_density_per_ha","distance_threshold_m","DGR"
"001_1","All",0,0,NA,NA,0,0,10,3.26142192852596
"001_1","All",1,2,16.665349827437,16.8718128911454,0.118558660761691,15.9154943091895,20,3.26142192852596
"001_1","All",1,2,16.665349827437,16.8718128911454,0.118558660761691,7.07355302630646,30,3.26142192852596
"001_1","All",1,3,16.665349827437,22.7896277302615,0.14743931248371,5.96831036594608,40,3.26142192852596
"001_1","All",1,5,16.665349827437,32.7954057757421,0.189287389959811,6.36619772367581,50,3.26142192852596
"001_1","All",1,6,16.665349827437,36.0973200099847,0.208296306425823,5.30516476972984,60,3.26142192852596
"001_1","All",1,7,16.665349827437,39.6925283889559,0.224619165084352,4.54728408833987,70,3.26142192852596
"001_1","All",1,7,16.665349827437,39.6925283889559,0.224619165084352,3.48151438013521,80,3.26142192852596
"001_1","All",1,8,16.665349827437,45.4967845481255,0.236229982873035,3.14380134502509,90,3.26142192852596
"001_1","All",1,11,16.665349827437,59.016932214453,0.267794696951809,3.5014087480217,100,3.26142192852596
"001_1","All",1,17,16.665349827437,75.5929628848877,0.324439930901653,4.47212236787144,110,3.26142192852596
"001_1","All",1,21,16.665349827437,83.075441267794,0.359295100310789,4.64201917351361,120,3.26142192852596
"001_1","All",1,22,16.665349827437,84.7846040120709,0.367581682017848,4.14367899174165,130,3.26142192852596
"001_1","All",1,25,16.665349827437,91.0615847593079,0.389466532915837,4.06007507887488,140,3.26142192852596
"001_1","All",1,26,16.665349827437,93.3160407250218,0.396147566482972,3.67824757367936,150,3.26142192852596
"001_1","All",1,33,16.665349827437,106.268266510899,0.441500886253824,4.10321337658793,160,3.26142192852596
"001_1","All",1,36,16.665349827437,110.992225856244,0.459911327829182,3.96510584865622,170,3.26142192852596
"001_1","All",1,40,16.665349827437,117.422862198424,0.482735210459774,3.92975168128137,180,3.26142192852596
"001_1","All",1,40,16.665349827437,117.422862198424,0.482735210459774,3.52697934829685,190,3.26142192852596
"001_1","All",1,45,16.665349827437,126.214697066125,0.508181104268959,3.58098621956765,200,3.26142192852596
"001_1","All",1,52,16.665349827437,136.652335493913,0.542541397749896,3.75331385069322,210,3.26142192852596
"001_1","All",1,58,16.665349827437,144.774061805592,0.570436729324259,3.8144573137727,220,3.26142192852596
"001_1","All",1,63,16.665349827437,151.252711809144,0.592524144690985,3.79083607364439,230,3.26142192852596
"001_1","All",1,66,16.665349827437,155.135792843575,0.605199522159118,3.64730077918927,240,3.26142192852596
"001_1","All",1,77,16.665349827437,167.873241193194,0.650232017439035,3.9215777977843,250,3.26142192852596
"001_1","All",1,84,16.665349827437,175.151134698667,0.677661354005041,3.95532994666249,260,3.26142192852596
"001_1","All",1,89,16.665349827437,180.271671666493,0.696439160057204,3.88608777371157,270,3.26142192852596
"001_1","All",1,93,16.665349827437,184.376118709895,0.710949566035862,3.77586982335364,280,3.26142192852596
"001_1","All",1,94,16.665349827437,185.424983871047,0.714483516508978,3.55780372191157,290,3.26142192852596
"001_1","All",1,96,16.665349827437,187.651825799262,0.721325537270603,3.3953054526271,300,3.26142192852596
"001_1","All",1,97,16.665349827437,188.822052886137,0.724645988876225,3.21290936106428,310,3.26142192852596
"001_1","All",1,99,16.665349827437,191.299209571747,0.731067779775984,3.07741003244095,320,3.26142192852596
"001_1","All",1,101,16.665349827437,193.96551077904,0.73720435602055,2.95218535395435,330,3.26142192852596
"001_1","All",1,102,16.665349827437,195.391749777408,0.740150368382452,2.80861664279815,340,3.26142192852596
"001_1","All",1,104,16.665349827437,198.327455696177,0.74589674530427,2.70238597249912,350,3.26142192852596
"001_1","All",1,105,16.665349827437,199.822472700747,0.748711234646389,2.5788995408409,360,3.26142192852596
"001_1","All",1,107,16.665349827437,202.840854951283,0.754246752839231,2.48788588909172,370,3.26142192852596
"001_1","All",1,111,16.665349827437,209.057759656856,0.764903870183622,2.44684192288094,380,3.26142192852596
"001_1","All",1,113,16.665349827437,212.227660240474,0.770056533877396,2.36482689932731,390,3.26142192852596
