"plot_id","closest_SW_distance_m","closest_SE_distance_m","log_closest_SW","log_closest_SE","predicted_DGR_se_only","predicted_DGR_se_only_lwr","predicted_DGR_se_only_upr","predicted_DGR_sw_se","predicted_DGR_sw_se_lwr","predicted_DGR_sw_se_upr"
"001_1",17.0782759548538,107.383452461051,2.83780724385433,4.67640609628471,3.05267022731842,2.92827457521275,3.17706587942409,2.99418634430981,2.87154200124723,3.11683068737239
"001_3",18.2483795583253,47.0418903285409,2.90407628476168,3.85103848833867,3.12666891578824,3.08510169114181,3.16823614043466,3.10192283170323,3.05429658171832,3.14954908168815
"001_5",18.2379232740262,46.9239230481525,2.90350312257347,3.84852763171698,3.12596155740625,3.08476985629005,3.16715325852245,3.10123628799635,3.05397485252465,3.14849772346805
"002_1",17.9617674038406,110.410430588432,2.88824546581855,4.70420460934773,3.03983572744052,2.91357201515095,3.16609943973009,2.99664488709604,2.87119591998903,3.12209385420305
"002_2",16.665349827437,108.758169629804,2.81333170328477,4.68912679017988,3.04690608378755,2.9217666880957,3.1720454794794,2.98156832422581,2.85811322482645,3.10502342362517
"002_3",16.4415879018857,46.8852653857813,2.79981397266969,3.84770345521136,3.12572849458214,3.08465312060896,3.16680386855531,3.07080882388208,3.0276876081533,3.11393003961086
"002_4",17.66105335759,47.7953593992398,2.87136183991968,3.86692855108657,3.13104617040717,3.08645984141883,3.17563249939551,3.0955223472011,3.04780767562011,3.14323701878209
"002_5",17.4469288059516,46.8479839962123,2.85916363349975,3.84690797672788,3.1255031425831,3.08453670071643,3.16646958444978,3.0879258950724,3.04421076894897,3.13164102119583
"002_6",16.5390786382231,46.3072401998237,2.80572598297885,3.83529832467289,3.12217127630577,3.08238750753237,3.16195504507918,3.06989729776182,3.0282560501507,3.11153854537294
"003_1",14.7308355663666,44.910700030196,2.68994295434884,3.80467607437955,3.11306503928303,3.07193276824034,3.15419731032573,3.02949973321943,2.97372258859084,3.08527687784802
"003_2",17.0804642830794,46.6096180044465,2.83793537084106,3.8418069147803,3.12404885118158,3.08369931464091,3.16439838772225,3.08066156248511,3.03839801372761,3.1229251112426
