"plot_id","DGR","closest_SW_distance_m","closest_SE_distance_m","log_closest_SW","log_closest_SE"
"110_4",2.01219093899895,16.7473376340928,42.4152065386032,2.81823929841929,3.74750694271862
"050_3",2.61972760874377,16.4258094617158,49.4526058870825,2.79885384545259,3.90101475409346
"066_2",2.45112499808184,15.5302437431085,49.2571315771671,2.74278933202188,3.89705416073237
"043_2",2.39619274481126,17.7024704046408,47.3898069969916,2.87370420072434,3.85840716331857
"107_2",0.696283405497572,13.9068934514544,41.2650915900933,2.63238464896245,3.72001690260097
"106_4",1.39779017230103,16.8555695709798,44.3479923345189,2.82468114051969,3.79206743906168
"106_3",1.80013112744164,15.8859949711797,41.5735536336279,2.76543790165415,3.72746423514437
"131_2",1.73160014289177,17.3625560817704,45.4815522300558,2.85431593812682,3.81730679824838
"125_3",2.76892395073423,15.9010822656873,50.8267655832096,2.76638717393409,3.92842309739033
"107_3",2.84277136186232,15.6942029385369,42.082628470403,2.75329140458491,3.73963503012894
"106_2",0.749290274230605,17.1084633593727,41.7723888888952,2.83957327436618,3.73223556837228
"070_1",2.35114665960848,16.2818076863399,89.1646588860254,2.79004839165468,4.49048476024837
"069_2",2.03046135945812,237.572368646819,99.2149600592263,5.47047228715188,4.59728880996924
"047_1",1.78129801290336,16.4427501488319,120.506379767927,2.79988465962984,4.79170269566139
"057_2",3.16386599221465,15.7436025424188,45.4469818155106,2.7564340949721,3.81654641171903
"065_6",2.79319647251633,52.6885530898064,47.8934442208843,3.96439822303196,3.86897863118553
"056_6",3.01105429367757,49.6234555063357,45.6416588908097,3.90446361522499,3.82082087163415
"077_1",3.2449903031815,17.4050193636625,119.333594020233,2.85675863379726,4.78192288225729
"031_6",3.30238587471887,91.5773634693832,45.2537258203742,4.5171841174433,3.81228500532811
"037_6",3.27599479170468,85.1978089309702,46.4277778965709,4.44497571673194,3.83789794166989
"036_2",3.01301351657228,15.0422961108403,44.2526579225978,2.71086597381345,3.78991543569745
"035_1",2.2537607715661,15.8662466900731,44.5614488958417,2.76419400310591,3.79686911070625
"043_3",2.32023843132574,17.4021442026693,49.0790412156806,2.85659342866675,3.89343208451907
"123_3",2.99349804482887,16.6087172543002,44.3408489603608,2.80992769332816,3.79190635060751
"123_2",2.843460898156,16.7531411721502,46.8681157525246,2.8185857733547,3.84733760955887
"107_1",1.32324025834012,18.4137073938151,41.1734914100229,2.91309535431989,3.71779463689882
"093_4",3.29967148553961,19.8106972079083,46.2529107774947,2.98622205483664,3.83412439770768
"125_2",2.88237661645468,19.0876586315626,50.9493788416822,2.94904198126661,3.93083256806708
"057_1",3.29994494493368,15.8694686508503,49.111883017417,2.76439705261991,3.89410102216718
"050_5",2.92790929790287,16.5214753527923,46.3960409141701,2.80466107117495,3.83721413046617
"050_6",3.49354732034226,56.7890367035672,47.470681339924,4.0393432913149,3.86011228552371
"051_4",3.13811906982206,16.6355184462813,47.5188177764617,2.81154007497705,3.86112579630345
"056_5",2.60737026749847,18.8116398774722,45.8298113119041,2.93447582066505,3.82493478138195
"065_5",3.10359758074644,17.1070229544955,47.7866953688596,2.83948907828813,3.86674726119016
"005_2",3.02202268665095,15.9564716029222,42.5420378414101,2.76986449006929,3.75049271274814
"031_5",3.06707727097193,16.377326613161,46.1811717720299,2.79589785467492,3.83257217761981
"037_1",3.72592651027652,16.5456632031268,46.1811687346678,2.8061240253769,3.83257211184923
"036_1",2.76719328265077,16.8929494510934,44.8598940841237,2.82689634263714,3.8035441680577
"036_3",3.01231264748801,15.5011786943474,44.6604219212863,2.74091606583055,3.79908769377639
"035_2",2.03417179720043,16.6171640906573,43.967732554144,2.81043614253686,3.78345601384267
"035_3",2.78046886708253,16.7759543159594,45.0549522074921,2.81994657041752,3.80788290492719
"043_4",3.10487149859462,15.5586694275303,48.1986163541667,2.74461800272434,3.87533031429943
